Plot,Year,Elevation,Group,Anastrophyllum hellerianum,Anastrophyllum michauxii,Anastrophyllum saxicola,Anomodon rostratus,Atrichum crispum,Atrichum oerstedianum,Bazzania denudata,Bazzania nudicaulis,Bazzania tricrenata,Bazzania trilobata,Blepharostoma trichophyllum,Brachythecium digastrum,Brachythecium oxycladon,Brachythecium plumosum,Brachythecium rutabulum,Brachythecium species,Brotherella recurvans,Bryhnia novae-angliae,Calypogeja muelleriana,Cephalozia bicuspidata,Cephalozia lunulifolia,Cephalozia species,Chiloscyphus polyanthos,Dicranella fulvum,Dicranella heteromalla,Dicranodontium asperulum,Dicranodontium denudatum,Dicranum flagellare,Dicranum fulvum,Dicranum fuscescens,Dicranum scoparium,Dicranum viride,Frullania tamarisci,Grimmia species,Herbertus aduncus,Heterophyllium affine,Hylocomiastrum umbratum,Hylocomium splendens,Hypnum cupressiforme,Hypnum curvifolium,Hypnum fauriei,Hypnum imponens,Hypnum pallescens,Hypnum pratense,Isopterygiopsis muelleriana,Isopterygium tenerum,Jamesoniella autumnalis,Lejeunea lamacerina,Lepidozia reptans,Leucobryum albidum,Leucobryum glaucum,Leucodon brachypus,Loeskeobryum brevirostre,Lophocolea heterophylla,Lophozia incisa,Lophozia species,Metzgeria furcata,Mnium hornum,Nowellia curvifolia,Orthotrichum anomalum,Orthotrichum stellatum,Pallavicinia lyellii,Paraleucobryum longifolium,Plagiomnium ciliare,Plagiothecium cavifolium,Plagiothecium denticulatum,Plagiothecium laetum,Platydictya subtilis,Platygyrium repens,Pleurozium schreberi,Pohlia elongata,Polytrichastrum formosum,Polytrichum juniperinum,Polytrichum pallidisetum,Polytrichum strictum,Pseudotaxiphyllum elegans,Ptilium crista-castrensis,Pylaisia selwynii,Pylaisiadelpha tenuirostris,Pylaisiella polyantha,Pylaisiella selwynii,Radula tenax,Rhizomnium punctatum,Rhyncostegium serrulatum,Rhytidiadelphus squarrosus,Rhytidiadelphus triquetrus,Riccardia jugata,Riccardia palmata,Scapania nemorosa,Scapania undulata,Sematophyllum demissum,Sematophyllum marylandieum,Sphagnum capillifolium,Sphagnum girgensohnii,Sphagnum quinquefarium,Sphagnum squarrosum,Steerecleus serrulatus,Tetraphis pellucida,Thuidium delicatulum,Tritomaria exsecta
F007-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,130,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
F010-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,105,0,0,15,0,0,0,0,0,0,0,0,0,445,0
F011-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0
F012-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,240,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,200,0
F016-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,19,240,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0
F017-2020,2020,M,2020M,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
F019-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,110,0,0,0,0,0,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
F021-2020,2020,H,2020H,0,20,0,0,50,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,35,0,0,0,0,0,0,5,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,60,0,0,0,0,0,0,60,0
F023-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,0,0,0,0,0,0,0,0,0,0,95,0,0,0,50,375,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0
F025-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,35,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0
