Plot,Year,Elevation,Group,Anastrophyllum hellerianum,Anastrophyllum michauxii,Anastrophyllum saxicola,Anomodon rostratus,Atrichum crispum,Atrichum oerstedianum,Bazzania denudata,Bazzania nudicaulis,Bazzania tricrenata,Bazzania trilobata,Blepharostoma trichophyllum,Brachythecium digastrum,Brachythecium oxycladon,Brachythecium plumosum,Brachythecium rutabulum,Brachythecium species,Brotherella recurvans,Bryhnia novae-angliae,Calypogeja muelleriana,Cephalozia bicuspidata,Cephalozia lunulifolia,Cephalozia species,Chiloscyphus polyanthos,Dicranella fulvum,Dicranella heteromalla,Dicranodontium asperulum,Dicranodontium denudatum,Dicranum flagellare,Dicranum fulvum,Dicranum fuscescens,Dicranum scoparium,Dicranum viride,Frullania tamarisci,Grimmia species,Herbertus aduncus,Heterophyllium affine,Hylocomiastrum umbratum,Hylocomium splendens,Hypnum cupressiforme,Hypnum curvifolium,Hypnum fauriei,Hypnum imponens,Hypnum pallescens,Hypnum pratense,Isopterygiopsis muelleriana,Isopterygium tenerum,Jamesoniella autumnalis,Lejeunea lamacerina,Lepidozia reptans,Leucobryum albidum,Leucobryum glaucum,Leucodon brachypus,Loeskeobryum brevirostre,Lophocolea heterophylla,Lophozia incisa,Lophozia species,Metzgeria furcata,Mnium hornum,Nowellia curvifolia,Orthotrichum anomalum,Orthotrichum stellatum,Pallavicinia lyellii,Paraleucobryum longifolium,Plagiomnium ciliare,Plagiothecium cavifolium,Plagiothecium denticulatum,Plagiothecium laetum,Platydictya subtilis,Platygyrium repens,Pleurozium schreberi,Pohlia elongata,Polytrichastrum formosum,Polytrichum juniperinum,Polytrichum pallidisetum,Polytrichum strictum,Pseudotaxiphyllum elegans,Ptilium crista-castrensis,Pylaisia selwynii,Pylaisiadelpha tenuirostris,Pylaisiella polyantha,Pylaisiella selwynii,Radula tenax,Rhizomnium punctatum,Rhyncostegium serrulatum,Rhytidiadelphus squarrosus,Rhytidiadelphus triquetrus,Riccardia jugata,Riccardia palmata,Scapania nemorosa,Scapania undulata,Sematophyllum demissum,Sematophyllum marylandieum,Sphagnum capillifolium,Sphagnum girgensohnii,Sphagnum quinquefarium,Sphagnum squarrosum,Steerecleus serrulatus,Tetraphis pellucida,Thuidium delicatulum,Tritomaria exsecta
F246-2020,2020,H,2020H,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,255,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,25,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0
S000-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,150,0
S004-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,30,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0
S012-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S016-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0
S018-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0
S022-2020,2020,M,2020M,0,10,0,0,0,0,0,0,0,450,0,0,0,0,0,0,55,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
S023-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,830,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
S027-2020,2020,H,2020H,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,45,0,60,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
S028-2020,2020,M,2020M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
S043-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,10,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,10,13,35,0,0,0,0,0,0,0,0,0,0,0,0,170,0
S115-2020,2020,L,2020L,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S141-2020,2020,L,2020L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,380,0
